X.,Аптечная.сеть.36.6..02,Газпром..13,ГИДРОМАШСЕРВИС..02,Кокс..БО.02,Кубаньэнерго..01,ЛЕНТА..03,Лукойл..03,Лукойл..04,Лукойл..БО.01,Лукойл..БО.18,Лукойл..БО.19,Лукойл..БО.20,Микояновский.мясокомбинат..БО.01,Мираторг.Финанс..БО.03,ММК..БО.02,ННК.Актив..бывш..НК.Альянс...БО.01,ОГК.2..01,ОКЕЙ..БО.05,РусГидро..09,РуссНефть..01,СОЛЛЕРС..02,ТГК.2..БО.02,ТМК..03,УК.ГидроОГК..01,ЧТПЗ..01,Энел.Россия..бывш..Энел.ОГК.5...БО.15
2010-01-11,95.62,114.61,0,0,0,0,0,100.53,0,177.54,177.29,0,0,0,106.96,0,101.32,0,0,0,132.48,0,138.4,101.44,0,0
2010-01-12,95.8,115.09,0,0,0,0,104.42,102.17,0,177.08,177.28,177.68,0,0,107.43,0,101.78,0,0,0,132.7,0,138.4,101.64,105.03,0
2010-01-13,95.29,115.6,0,0,0,0,104.61,102.37,167.71,177.7,177.83,177.7,0,0,107.78,0,102.09,0,0,0,132.98,0,138.93,102.19,105.27,0
2010-01-14,96.32,116.42,0,0,0,0,104.92,103.08,168.31,178.38,178.32,178.42,0,0,108.31,0,102.5,0,0,112.11,133.17,0,139.19,102.62,105.84,0
2010-01-15,97.19,116.9,0,0,0,0,105.5,104.28,169.24,178.79,178.32,178.77,0,0,108.49,0,102.72,0,0,112.11,133.17,0,139.46,103.23,106.01,0
2010-01-18,99.44,117.86,0,0,0,0,106.09,104.87,169.24,178.79,178.32,179.9,0,0,109.54,0,103.28,0,0,112.11,133.17,0,140.28,103.82,106.69,0
2010-01-19,99.61,118.38,0,0,0,0,106.27,105.06,169.24,180.07,180.22,179.9,0,0,109.89,0,103.54,0,0,112.11,133.17,0,140.52,104.32,107.02,0
2010-01-20,99.42,118.81,0,0,0,0,106.47,105.26,171.04,180.34,180.34,180.34,0,0,110.3,0,103.8,0,0,112.11,133.17,0,140.82,104.43,107.62,0
2010-01-21,100.92,119.52,0,0,99.9,0,106.47,104.25,171.44,180.34,180.34,180.34,0,0,110.65,0,104.07,0,0,112.11,96.82,0,140.82,104.63,107.91,0
2010-01-22,101.3,119.24,0,0,99.61,0,106.63,106.7,171.36,181.03,181.23,180.34,0,0,111.12,0,104.4,0,0,112.11,96.95,0,141.31,104.94,108.31,0
2010-01-25,101.77,120.42,0,0,100.39,0,108.92,105.7,171.36,182.09,182.39,182.29,0,0,111.81,0,104.92,0,0,112.11,97.48,0,142.1,105.36,108.9,0
