,OBER IN Equity,HEXW IN Equity,FORH IN Equity,TGBL IN Equity,TRCL IN Equity,NTCPH IN Equity,TI IN Equity,GFLC IN Equity,PEPL IN Equity,SI IN Equity,HWA IN Equity,WLSI IN Equity,IRB IN Equity,ADE IN Equity,RCAPT IN Equity,WHIRL IN Equity,AIAE IN Equity,INXW IN Equity,0CL IN Equity,VOLT IN Equity,GPPV IN Equity,APTY IN Equity,BIOS IN Equity,CIFC IN Equity,SPADV IN Equity,MPHL IN Equity,BOI IN Equity,RELI IN Equity,GRHF IN Equity,MACA IN Equity,IDBI IN Equity,SANL IN Equity,MRPL IN Equity,INFOE IN Equity,PI IN Equity,SJVN IN Equity,TTCH IN Equity,IPCA IN Equity,UNBK IN Equity,FB IN Equity,CRG IN Equity,RPWR IN Equity,TVSL IN Equity,BOOT IN Equity,SUEL IN Equity,PFIZ IN Equity,TCOM IN Equity,JUBI IN Equity,LTFH IN Equity,DITV IN Equity,SCUF IN Equity,CBOI IN Equity,JSW IN Equity,NBCC IN Equity,TMX IN Equity,MTCL IN Equity,3M IN Equity,GDSP IN Equity,WIL IN Equity,NLC IN Equity,EXID IN Equity,ATD IN Equity,MAX IN Equity,PLNG IN Equity,CRISIL IN Equity,AJP IN Equity,CBK IN Equity,KNPL IN Equity,ALPM IN Equity,SUNTV IN Equity,BYRCS IN Equity,MMFS IN Equity,RJEX IN Equity,WPL IN Equity,BRGR IN Equity,RCOM IN Equity,VED LN Equity,HNDL IN Equity,GILL IN Equity,PAG IN Equity,TPWR IN Equity,PIEL IN Equity,HAVL IN Equity,SUF IN Equity,AMRJ IN Equity,MRF IN Equity,BDE IN Equity,BJHI IN Equity,NHPC IN Equity,APHS IN Equity,SAIL IN Equity,DLFU IN Equity,SHTF IN Equity,PG IN Equity,IDFC IN Equity,LICHF IN Equity,CSTRL IN Equity,TATA IN Equity,JSTL IN Equity,UBBL IN Equity,UPLL IN Equity,PNB IN Equity,AL IN Equity,ABB IN Equity,RECL IN Equity,ACC IN Equity,IHFL IN Equity,BHFC IN Equity,ABNL IN Equity,CLGT IN Equity,SKB IN Equity,MRCO IN Equity,BHE IN Equity,HPCL IN Equity,BAF IN Equity,CAIR IN Equity,OINL IN Equity,TRP IN Equity,YES IN Equity,HMN IN Equity,VEDL IN Equity,BJFIN IN Equity,ESOIL IN Equity,CCRI IN Equity,PIDI IN Equity,GLXO IN Equity,TTAN IN Equity,KKC IN Equity,POWF IN Equity,DIVI IN Equity,GNP IN Equity,GRASIM IN Equity,ACEM IN Equity,GRASIM/F IN Equity,OFSS IN Equity,Z IN Equity,BRIT IN Equity,BOB IN Equity,GAIL IN Equity,MSS IN Equity,CDH IN Equity,SRCM IN Equity,NMDC IN Equity,ARBP IN Equity,SIEM IN Equity,HMCL IN Equity,GCPL IN Equity,UNSP IN Equity,IIB IN Equity,DABUR IN Equity,EIM IN Equity,BHEL IN Equity,TECHM IN Equity,CIPLA IN Equity,HZ IN Equity,IDEA IN Equity,NEST IN Equity,BPCL IN Equity,BJAUT IN Equity,PWGR IN Equity,ADSEZ IN Equity,MM IN Equity,BOS IN Equity,DRRD IN Equity,APNT IN Equity,BHIN IN Equity,UTCEM IN Equity,LPC IN Equity,NTPC IN Equity,IOCL IN Equity,TTMT IN Equity,KMB IN Equity,AXSB IN Equity,MSIL IN Equity,HCLT IN Equity,BHARTI IN Equity,WPRO IN Equity,LT IN Equity,ICICIBC IN Equity,SBIN IN Equity,HDFC IN Equity,HUVR IN Equity,ONGC IN Equity,SUNP IN Equity,COAL IN Equity,HDFCB IN Equity,INFO IN Equity,ITC IN Equity,RIL IN Equity,TCS IN Equity
04.01.2002,0,7.73,0,16.5,21.67,2.21,6.8,3.8,0,4.4,134.6,60.26,0,1.65,54.53,19.05,0,0,12.28,4.47,0,7.86,0,22.45,0,35.18,14.55,204.25,1.34,0,15.45,368.98,6.7,0,0,0,39.6,7.91,0,1.1,1.74,0,9.02,240,0,424.52,146.28,0,0,0,0,0,0,0,13.31,0,270,2.19,0,10.5,2.8,2.62,10.4,0,14.99,8.4,0,2.7,0,0,92.4,0,2.5,166.57,3.25,0,0,56.37,266.3,0,11.72,36.15,1.54,0,4.89,731.23,65.95,83.41,0,56.48,4.85,0,8.83,293.39,0,8.97,44.5,55.86,50.29,0,0.35,0,3.48,41.01,0,167.97,0,18.54,68.57,80.91,396.27,5.19,28.34,135.45,29.95,0,0,16.51,0,0,1.26,0,5.5,51.83,8.57,281.01,1.87,38.88,0,0,10.28,214.14,26.95,0,0,36.69,118,7.98,42.59,1.19,8.02,50.4,0,11.13,18.78,259.85,13.09,61.25,10.4,11.49,21.73,13.94,0,90.31,2.09,0,498.65,92.95,0,0,0,22.48,211.06,467.77,17.73,0,0,9.22,0,45.05,19.18,2.52,5.46,0,73.49,0,156.24,49.35,18.19,19.12,63.46,213.98,23.28,13.22,0,44.75,132.74,22.84,80.52,0
11.01.2002,0,7.05,0,16.56,20.72,2.29,6.9,3.8,0,4.24,130,60.73,0,1.56,52.16,18.3,0,0,12.38,4.47,0,7.79,0,22.11,0,33.7,14.8,200,1.25,0,14.5,356.42,6.3,0,0,0,38.65,7.76,0,1.07,1.64,0,10.04,240,0,408.93,142.58,0,0,0,0,0,0,0,13.47,0,258.05,2.12,0,10.35,2.75,2.47,10.67,0,16.04,8.27,0,2.67,0,0,101.04,0,2.63,161.07,2.88,0,0,60.65,253.02,0,11.66,35.6,1.62,0,4.78,702.94,74.95,89.67,0,52.28,4.85,0,8.49,292.77,0,8.59,43.93,58.71,49.14,0,0.34,0,3.25,41.7,0,164.09,0,18.61,68.19,77.75,384.26,5.11,32.8,150.9,31.55,0,0,16.14,0,0,1.23,0,5.15,53.77,8.28,281.39,1.72,38.39,0,0,10.02,215.49,28.37,0,0,39.22,118.98,7.76,41.97,1.2,8.04,43.65,0,11.41,18.72,284.52,13.95,56,10.05,11.23,20.8,14.1,0,95.31,2.25,0,497.91,100.5,0,0,0,23.06,210.37,476.6,17.85,0,0,9.2,0,45,21.52,3.65,5.43,0,67.49,0,135.72,49.13,17.99,18.84,63.47,206.39,23.42,14.69,0,45.04,117.09,24.66,83.22,0
18.01.2002,0,6.74,0,16.93,21.07,2.26,7.01,3.77,0,4.34,140,62.7,0,1.7,54.28,19.95,0,0,14.68,4.47,0,7.4,0,23.19,0,42.55,15.35,205.85,1.34,0,14.6,360.92,7.15,0,0,0,41.99,7.95,0,1.17,1.67,0,12.46,239.3,0,410.07,141.13,0,0,0,0,0,0,0,13.76,0,259.55,2.15,0,11.7,2.9,2.64,10.54,0,23.49,7.99,0,2.9,0,0,106.62,0,2.5,161.12,2.88,0,0,60.18,256.72,0,12.2,35.3,1.53,0,4.84,735.67,69.75,98.2,0,53.48,4.9,0,8.74,292.77,0,9.57,44.52,64.02,57.14,0,0.33,0,3.53,41.3,0,170.8,0,23.51,67.9,75.51,388.37,5.2,39.26,166.1,34.66,0,0,17.86,0,0,1.27,0,4.8,55.97,8.45,306.84,1.71,39.16,0,0,10.76,212.54,29.58,0,0,42.1,119.02,8.04,44.04,1.26,7.83,45.9,0,11.87,19.71,284.39,14.02,66.85,10.25,11.02,23.99,14.86,0,93.26,2.34,0,492.57,107.93,0,0,0,28.41,225.09,487.88,17.98,0,0,10.54,0,44.93,23.93,3.74,5.75,0,62.26,0,141.37,50.62,18.56,20.7,61.48,204.81,24,14.57,0,47.15,116.79,23.54,78.66,0
25.01.2002,0,6.31,0,16.09,21.67,2.16,7,3.83,0,4.48,132,56.69,0,1.68,52.95,20,0,0,14.49,4.3,0,7.2,0,22.45,0,54.44,15.6,201.3,1.4,0,14.6,353.25,6.85,0,0,0,40.84,8.29,0,1.15,1.82,0,12.64,248.95,0,407.04,136.75,0,0,0,0,0,0,0,13.97,0,252.6,2.12,0,12.25,2.95,2.71,10.41,0,23.07,7.6,0,2.97,0,0,115.59,0,2.42,162.4,2.84,0,0,61.38,253.76,0,11.07,36.4,1.53,0,5.18,764.51,76.15,95.06,0,53.1,5,0,8.59,292.77,0,9.97,44.57,55.51,46.86,0,0.33,0,3.73,43.61,0,162.51,0,22.16,67.46,75.27,385.4,5.43,36.85,170.75,35.46,0,0,20.39,0,0,1.2,0,4.95,66.55,8.58,314.84,1.73,36.83,0,0,12.05,209.22,27.42,0,0,38.97,115.03,7.89,44.53,0,7.88,46.3,0,11.67,19.92,291.02,14.45,58.6,10.3,10.83,29.31,14.9,0,89.75,2.21,0,493.86,103.48,0,0,0,26.75,227.16,482.98,18.18,0,0,10.69,0,45.67,23.25,3.49,6.12,0,54.92,0,138.76,48.62,18.76,19.63,63.01,211.43,23.01,14.61,0,45.75,113.29,23.43,79.43,0
01.02.2002,0,0,0,16.4,21.87,2.3,7.35,3.8,0,4.71,135,55.42,0,1.66,52.3,19.95,0,0,14.59,4.44,0,7.34,0,24.47,0,53.87,17.5,204.55,1.25,0,14.15,351.69,6.75,0,0.76,0,40.35,8.86,0,1.22,1.76,0,13.62,249,0,402.68,155.92,0,0,0,0,0,0,0,13.77,0,257.05,2.06,0,12.6,2.94,3.09,10.3,0,23.49,7.19,0,3.21,0,0,115.63,0,2.65,151.62,2.96,0,0,61.87,297.84,0,11.39,37.12,1.5,0,5.02,759.58,76.85,94.94,0,50.83,4.85,0,9.42,293.2,0,10.96,44.49,59.56,50.29,0,0.35,0,3.66,44.17,0,163.95,0,21.75,64.71,72.14,387.38,5.45,40.22,181.4,34.84,0,0,23.24,0,0,1.19,0,4.9,77.25,8.57,319.9,1.88,36.83,0,0,11.61,214.78,29.07,0,0,38.93,116,7.8,47.38,1.22,7.76,44.9,0,12.06,20.49,290.66,13.29,55.8,10.5,10.88,30.24,16.05,0,88.54,2.37,0,497.66,116.48,0,0,0,29.26,222.22,468.23,18.08,0,0,10.37,0,46.28,24.06,4.06,5.8,0,59.96,0,140.33,49.65,18.14,19.97,63.98,210.71,25.71,14.41,0,44.92,112.63,22.64,75.71,0
08.02.2002,0,0,0,15.9,21.74,2.39,7.35,3.76,0,4.88,140.3,54.44,0,1.63,53,20.25,0,0,16.26,4.47,0,7.22,0,24.08,0,59.84,21.3,209.2,1.39,0,15.9,349.7,8,0,0.69,0,41.44,9.29,0,1.6,1.72,0,15.57,245,0,437.83,167.97,0,0,0,0,0,0,0,14.48,0,272.5,2.08,0,17.15,2.96,2.96,11.9,0,22.84,6.2,0,3.69,0,0,103.63,0,2.59,156.97,3.09,0,0,62.24,352.3,0,11.96,38.55,1.51,0,5.01,805.25,75.1,99.3,0,50.85,5.2,0,9.08,293.78,0,11.8,46.37,58.68,49.14,0,0.34,0,3.6,46.33,0,166.92,0,21.35,65,73.37,392.32,5.27,39.76,238.7,35.55,0,0,20.43,0,0,1.18,0,4.95,82.77,8.47,341.76,2.05,35.81,0,0,12.88,228.43,30.32,0,0,45.94,115.4,9.42,52.36,1.41,7.72,43.6,0,12.13,23.59,292.53,14.25,52.45,12.18,10.16,35.41,16.55,0,85.3,2.79,0,493.46,145.53,0,0,0,30.18,231.27,477.45,18.42,0,0,10.21,0,58.02,25.74,3.76,6.57,0,69.02,0,146.78,52.55,18.4,23.45,62.25,221.47,28.43,14.2,0,44.99,109.24,23.14,78.69,0
15.02.2002,0,0,0,16.95,21.74,2.35,7.3,4.16,0,6.45,137,52.61,0,1.68,62.29,20.35,0,0,19.24,4.68,0,7,0,26.13,0,54.96,24.9,217.95,1.65,0,20.45,349.55,7.75,0,1,0,43.13,9.55,0,1.76,2.13,0,15.29,278.9,0,436.36,178.68,0,0,0,0,0,0,0,16.03,0,299.25,2.14,0,21.3,3.08,3.43,13.03,0,24.57,7.66,0,3.67,0,0,128.12,0,2.56,163.05,3.08,0,0,64.13,347.16,0,12.68,40.29,1.61,0,5.09,885.2,76.85,97.14,0,52.43,5.65,0,11.73,326.8,0,13.68,46.37,64.43,53.71,0,0.33,0,3.83,48.48,0,171.14,0,23.79,65.53,73.97,396.42,6.52,44.11,249.65,43.46,0,0,20.73,0,0,1.27,0,5.35,90.35,9.01,328.42,2.3,40.18,0,0,12.72,229.85,30.88,0,0,45.94,115.58,10.35,55.94,1.41,7.77,44.85,0,11.72,26.63,296.24,13.79,53.1,14.01,10.61,37.77,19.24,0,83.94,2.88,0,503.39,153.23,0,0,0,32.08,241.97,481.52,19.59,0,0,10.2,0,62.58,26.47,5.08,7.72,0,66.52,22.5,145.54,54.59,25.36,23.42,65.75,225.84,38.79,14.32,0,46.57,113.66,23.33,79.63,0
22.02.2002,0,0,0,17.04,22.04,2.35,7.2,4.01,0,5.51,132,51.62,0,1.66,58.83,25.6,0,0,18.76,4.52,0,8.01,0,25.71,0,56.33,22.9,216.1,1.54,0,19.1,329.28,7.8,0,0,0,44.28,9.87,0,2.35,2.38,0,17.88,290.95,0,424,170.07,0,0,0,0,0,0,0,17.13,0,269.35,2.27,0,21.1,3.19,4.43,14.31,0,23.34,7.33,0,3.64,0,0,134.33,0,2.5,180.83,3.02,0,0,67.08,346.27,0,12.54,39.17,1.57,0,5.2,889.98,80.15,96.3,0,70.53,6.15,0,10.8,328.17,0,13.85,46.38,66.4,53.71,0,0.35,0,4.52,53.09,0,157.69,0,23.43,65.39,70.62,398.25,6.03,53.14,248.55,43.15,0,0,26.07,0,0,1.24,0,5.2,90.58,9.39,322.64,2.26,40.75,0,0,12.75,222.87,30.39,0,0,47.94,112.2,9.96,51.09,1.24,7.66,42.2,0,11.85,29.7,332.91,13.18,53,15.79,10.46,47.76,17.58,0,84.69,2.93,0,502.55,146.6,0,0,0,29.57,234.57,497.48,19.98,0,0,12.23,0,58.23,26.04,5.74,8.75,0,63.11,21.73,144.93,50.18,28,22.78,65.95,230.93,39.18,14.94,0,49.35,110.03,24.25,79.46,0
01.03.2002,0,0,0,17.63,21.54,2.32,6.9,3.85,0,5.35,135,64.29,0,1.64,54.18,22.7,0,0,18.44,4.47,0,7.57,0,25.36,0,59.73,21.5,214.75,1.56,0,18.5,322.36,8.4,0,0,0,42.09,9.41,0,2.07,3.53,0,17.41,308.3,0,424.52,171.31,0,0,0,0,0,0,0,15.68,0,274.25,2.59,0,23.65,3.14,4.16,12.18,0,24.78,7.2,0,3.2,0,0,138.8,0,0,178.28,3.01,0,0,65.41,381.77,0,11.83,40.36,1.55,0,4.85,836.83,74,99.79,0,57.43,5.15,0,9.82,328.85,0,14.34,45.09,62.29,52.57,0,0.36,0,4.4,55.42,0,175.06,0,22.21,64.76,69.78,390.34,6.37,47.84,296.3,40.44,0,0,28.3,0,0,1.2,0,5.4,88.23,8.72,320.28,2.42,38.91,0,0,12.25,226.86,31.89,0,0,49.56,111,9.13,48.53,1.24,7.65,41.4,0,11.81,26.86,335.38,15.47,49.6,15.1,10.03,46.97,17.77,0,81.88,3.09,0,497.95,151.55,0,0,0,28.41,241.97,526.63,19.96,0,0,11.87,0,57.27,27.52,6.14,8.11,0,67.34,21.1,143.58,50.49,26.94,21.95,66.46,252.05,40.34,14.99,0,47.92,106.65,24.49,81.31,0
08.03.2002,0,0,0,17.89,21.79,2.3,7.3,3.85,0,5.46,140,60.96,0,1.65,55.42,23,0,0,22.56,4.47,0,7.69,0,25.94,0,65.24,22.65,215.1,1.59,0,17.75,326.34,10.2,0,0.83,0,43.93,10,0,2.82,3.77,0,17.36,302.1,0,417.65,173.7,0,0,0,0,0,0,0,15.9,0,281.95,2.61,0,22,3.22,3.89,12.54,0,26.39,7,0,3.3,0,0,141.9,0,2.42,173.27,2.89,0,0,64.02,376.98,0,11.72,43.73,1.56,0,4.99,859.75,75.2,106.36,0,65.1,5.1,0,9.82,328.66,0,15.86,45.88,60.56,45.71,0,0.32,0,4.34,52.28,0,162.8,0,22.67,64.42,68.43,388.27,6.21,44.32,314.1,42.22,0,0,30.83,0,0,1.16,0,5,90.95,8.4,330.31,2.38,38.03,0,0,12.52,223.92,29.44,0,0,48.71,109.85,9.45,46.72,1.21,7.72,42,0,11.83,27.04,341.61,14.57,47.15,15.99,9.94,44.71,17.25,0,82.06,3.12,0,503.68,159.63,0,0,0,30.45,250.86,528.05,20.59,0,0,11.93,0,58.78,25.4,7.53,8.03,0,72.26,21.93,161.58,48.79,26.11,21.8,66.44,236.73,40.74,15.05,0,46.96,125.09,23.03,77.45,0
15.03.2002,0,0,0,17.53,21.91,2.29,7.53,3.83,0,5.35,135,59.32,0,1.64,54.88,23.8,0,0,21.9,4.99,0,7.46,0,33.49,0,73.04,22.2,216.45,1.6,0,17.4,324.63,9,0,0.77,0,43.88,9.68,0,3.16,3.43,0,17.29,301.75,0,422.62,176.79,0,0,0,0,0,0,0,15.32,0,332.2,2.65,0,21.15,3.1,3.69,24.57,0,30.59,6.32,0,3.33,0,0,139.82,0,2.37,175.78,2.95,0,0,64.8,389.82,0,11.58,44,1.56,0,4.87,867.67,74.8,107.37,0,71.3,5,0,9.33,327.58,0,15.74,44.44,58.68,45.71,0,0.31,0,4.4,53.11,0,158.73,0,22.2,64.71,67.59,380.21,6.4,44.16,299.5,45.77,0,0,28.54,0,0,1.2,0,6.35,85.7,8.19,336.27,2.65,39.06,0,0,12.3,223.73,28.31,0,0,53.86,109.1,10,50.2,1.12,7.71,41.55,0,11.56,26.43,343.44,14.88,50.65,16.49,9.74,43.55,17.08,0,80.98,3.1,0,499.04,159.9,0,0,0,28.94,246.22,533.55,20.8,0,0,12.06,0,60.08,24.7,7.48,8,0,68.07,20.9,154.64,48.34,25.8,22.02,65.98,228.43,41.55,15.1,0,47.1,118.57,22.99,77.8,0
