Date,POLY,YNDX,ALRS,AKRN,AFLT,BSPB,BANE,BANEP,VTBR,VSMO,GAZP,GMKN,DIXY,IRAO,KMAZ,LSRG,LKOH,MVID,MAGN,MTSS,MGNT,MFON,MOEX,MSTT,NLMK,NMTP,NVTK,PIKK,ROSN,RTKM,RTKMP,HYDR,RUAL,SVAV,SBER,SBERP,CHMF,AFKS,SNGS,SNGSP,TRMK,TATN,TATNP,TRNFP,URKA,FEES,PHOR,GCHE,EONR
07.01.02,0,0,0,0,12.03,0,0,0,0,0,0,550.59,0,0,0,0,428.01,0,0,0,0,0,0,0,0,0,0,0,0,31.16,16.32,0,0,0,2332.05,24.98,0,0,10.679,6.65,0,17.61,12.45,0,0,0,0,0,0
14.01.02,0,0,0,0,12,0,0,0,0,0,0,505.1,0,0,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,30.77,15.82,0,0,0,2780,28.35,0,0,10.201,6.4,0,17.36,12.18,0,0,0,0,0,0
21.01.02,0,0,0,0,10.7,0,0,0,0,0,0,460.5,0,0,0,0,426,0,0,0,0,0,0,0,0,0,0,0,0,32,16.4,0,0,0,2418,25.5,0,0,9.685,6.14,0,15.4,11.251,0,0,0,0,0,0
28.01.02,0,0,0,0,10.64,0,0,0,0,0,0,505,0,0,0,0,428,0,0,0,0,0,0,0,0,0,0,0,0,32.89,16.95,0,0,0,2555,27.59,0,0,9.98,6.605,0,15.7,11.5,0,0,0,0,0,0
04.02.02,0,0,0,0,11,0,0,0,0,0,0,537,0,0,0,0,438.7,0,0,0,0,0,0,0,0,0,0,0,0,35.12,18.1,0,0,0,2566,27.87,0,0,9.969,6.75,0,15.43,11.85,0,0,0,0,0,0
11.02.02,0,0,0,0,10.8,0,0,0,0,0,0,536.5,0,0,0,0,405,0,0,0,0,0,0,0,0,0,0,0,0,35.11,19.09,0,0,0,2682,30.21,0,0,10.31,6.88,0,16.4,12.42,0,0,0,0,0,0
18.02.02,0,0,0,0,11.1,0,0,0,0,0,0,590,0,0,0,0,400.6,0,0,0,0,0,0,0,0,0,0,0,0,34.32,18.85,0,0,0,2760,31.4,0,0,10.088,6.7,0,16.54,12.4,0,0,0,0,0,0
25.02.02,0,0,0,0,11.41,0,0,0,0,0,0,619,0,0,0,0,394,0,0,0,0,0,0,0,0,0,0,0,0,36.49,20.37,0,0,0,2898,39.19,0,0,9.98,6.73,0,16.15,12.85,0,0,0,0,0,0
04.03.02,0,0,0,0,12.95,0,0,0,0,0,0,628,0,0,0,0,413.45,0,0,0,0,0,0,0,0,0,0,0,0,38.75,22,0,0,0,2995.55,46.91,0,0,11.194,7.149,0,17.14,12.95,0,0,0,0,0,0
11.03.02,0,0,0,0,12.04,0,0,0,0,0,0,655,0,0,0,0,420.99,0,0,0,0,0,0,0,0,0,0,0,0,37.77,22.71,0,0,0,3239.88,48.99,0,0,11.74,7.2,0,19,14.6,0,0,0,0,0,0
18.03.02,0,0,0,0,12.13,0,0,0,0,0,0,679,0,0,0,0,427.5,0,0,0,0,0,0,0,0,0,0,0,0,38.52,21.61,0,0,0,3812,56.2,0,0,12.25,7.17,0,19.5,14.25,0,0,0,0,0,0
25.03.02,0,0,0,0,12.22,0,0,0,0,0,0,678,0,0,0,0,454.5,0,0,0,0,0,0,0,0,0,0,0,0,39.64,22.3,0,0,0,4280,57.2,0,0,11.42,6.89,0,21.42,15.9,0,0,0,0,0,0
01.04.02,0,0,0,0,12.26,0,0,0,0,0,0,648.25,0,0,0,0,449,0,0,0,0,0,0,0,0,0,0,0,0,37.34,21.15,0,0,0,4620,54.97,0,0,11.171,6.53,0,20.1,15.03,0,0,0,0,0,0
08.04.02,0,0,0,0,12.17,0,0,0,0,0,0,674,0,0,0,0,479.8,0,0,0,0,0,0,0,0,0,0,0,0,42.7,23.2,0,0,0,4690,54.29,0,0,10.891,6.625,0,21.2,16,0,0,0,0,0,0
15.04.02,0,0,0,0,11.85,0,0,0,0,0,0,779.9,0,0,0,0,540.7,0,0,0,0,0,0,0,0,0,0,0,0,51.2,26.25,0,0,0,5195,56.97,0,0,11.445,6.82,0,23.95,16.86,0,0,0,0,0,0
22.04.02,0,0,0,0,11.55,0,0,0,0,0,0,740,0,0,0,0,560.38,0,0,0,0,0,0,0,0,0,0,0,0,48,24.28,0,0,0,5430,66.1,0,0,12.17,6.95,0,26.5,18.98,0,0,0,0,0,0
29.04.02,0,0,0,0,11.45,0,0,0,0,0,0,735,0,0,0,0,556,0,0,0,0,0,0,0,0,0,0,0,0,46.1,23.5,0,0,0,5305,64.98,0,0,11.889,6.789,0,25.18,18.7,0,0,0,0,0,0
